"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.307095708E0,-2.999918365E1,2.274108124E1,-1.961599731E1
3.317101708E0,-2.976051331E1,2.291798401E1,-1.991716003E1
3.327108708E0,-2.957677460E1,2.294223785E1,-2.026251984E1
3.337115708E0,-2.945528412E1,2.316535187E1,-2.050219727E1
3.347122708E0,-2.932160187E1,2.314202118E1,-2.059377289E1
3.357129708E0,-2.950344849E1,2.323487091E1,-2.025334167E1
3.367136708E0,-2.984510040E1,2.309510040E1,-2.023438263E1
3.377143708E0,-2.955023956E1,2.297523499E1,-1.993666840E1
3.387149708E0,-2.988533020E1,2.283293152E1,-1.972149658E1
3.397156708E0,-3.017353058E1,2.302156830E1,-1.970814514E1
3.407163708E0,-3.039131927E1,2.279283142E1,-1.958113861E1
3.417170708E0,-3.094660950E1,2.272803497E1,-1.906954193E1
3.427177708E0,-3.131439972E1,2.224079132E1,-1.878216553E1
3.437184708E0,-3.170874786E1,2.208954620E1,-1.867431641E1
3.447191708E0,-3.206058502E1,2.192053223E1,-1.815649414E1
3.457197708E0,-3.255941010E1,2.178746796E1,-1.751518250E1
3.467204708E0,-3.264694214E1,2.202066040E1,-1.680065155E1
3.477211708E0,-3.306917572E1,2.208815765E1,-1.612982941E1
3.487218708E0,-3.345684814E1,2.208578491E1,-1.509901428E1
3.497225708E0,-3.355048370E1,2.208947754E1,-1.463650513E1
3.507232708E0,-3.383207703E1,2.225895691E1,-1.425015259E1
3.517238708E0,-3.387366486E1,2.249102020E1,-1.358325195E1
3.527245708E0,-3.405536652E1,2.226974487E1,-1.236584473E1
3.537252708E0,-3.421334839E1,2.232732391E1,-1.207136536E1
3.547259708E0,-3.414414215E1,2.221953583E1,-1.213687134E1
3.557266708E0,-3.429628754E1,2.208965302E1,-1.278215790E1
3.567273708E0,-3.454245758E1,2.180930328E1,-1.252289581E1
3.577280708E0,-3.453677368E1,2.156632996E1,-1.244394684E1
3.587287708E0,-3.484774780E1,2.156759644E1,-1.249418640E1
3.597293708E0,-3.478744507E1,2.142442322E1,-1.268656921E1
3.607300708E0,-3.443839264E1,2.174188232E1,-1.261412811E1
3.617307708E0,-3.426394653E1,2.196337128E1,-1.279093170E1
3.627314708E0,-3.428493500E1,2.194880676E1,-1.279425812E1
3.637321708E0,-3.437046814E1,2.202477264E1,-1.230297089E1
3.647328708E0,-3.444782257E1,2.197518921E1,-1.238314056E1
3.657334708E0,-3.480332184E1,2.176441956E1,-1.188844299E1
3.667341708E0,-3.491710663E1,2.184410858E1,-1.178645325E1
3.677348708E0,-3.496802521E1,2.204162598E1,-1.206970978E1
3.687355708E0,-3.477889252E1,2.201171875E1,-1.242073059E1
3.697362708E0,-3.455168152E1,2.215739441E1,-1.281213379E1
